t, stateA_obs, stateB_obs, stateC_obs, stateD_obs, stateE_obs, stateF_obs, stateG_obs, stateH_obs, donor_obs, Pdonor_obs, Pparticle_obs, 
-50, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-49.1639, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-48.3278, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-47.4916, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-46.6555, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-45.8194, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-44.9833, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-44.1472, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-43.311, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-42.4749, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-41.6388, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-40.8027, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-39.9666, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-39.1304, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-38.2943, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-37.4582, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-36.6221, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-35.786, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-34.9498, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-34.1137, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-33.2776, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-32.4415, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-31.6054, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-30.7692, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-30, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-29.9331, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-29.097, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-29.0903, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-28.2609, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-28.1806, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-27.4247, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-27.2709, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-26.5886, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-26.3612, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-25.7525, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-25.4515, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-24.9164, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-24.5418, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-24.0803, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-23.6321, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-23.2441, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-22.7224, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-22.408, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-21.8127, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-21.5719, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-20.903, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-20.7358, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-19.9933, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-19.8997, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-19.0836, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-19.0635, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-18.2274, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-18.1739, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-17.3913, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-17.2642, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-16.5552, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-16.3545, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-15.7191, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-15.4448, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-14.8829, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-14.5351, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-14.0468, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-13.6254, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-13.2107, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-12.7157, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-12.3746, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-11.806, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-11.5385, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-10.8963, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-10.7023, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-9.98662, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-9.86622, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-9.07692, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-9.0301, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-8.19398, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-8.16722, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-7.35786, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-7.25753, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-6.52174, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
-6.34783, 5, 6, 6.11062, 5.06791, 10.1358, 0.280725, 5.4629, 11.0742, 0.16629, 0.0337097, 0.202716, 
